rcid,session,date,unres,me,nu,di,hr,co,ec
2351,37,12/1/1982,R/37/69G,0,0,0,1,0,0
2490,37,12/5/1982,R/37/408,0,0,0,0,0,0
2385,37,12/1/1982,R/37/78I,0,1,1,0,0,0
2408,37,12/5/1982,R/37/100C,0,1,1,0,0,0
2401,37,12/5/1982,R/37/99E,0,1,1,0,0,0
2377,37,12/1/1982,R/37/77A,0,1,1,0,0,1
1774,32,12/6/1977,R/32/84A,0,1,1,0,0,1
1677,31,12/2/1976,R/31/74,0,0,1,0,0,0
2707,39,12/1/1984,R/39/148P,0,1,1,0,0,0
2650,39,12/2/1984,R/39/49C,1,0,0,0,0,0
2665,39,12/5/1984,R/39/92,0,0,0,0,1,0
2737,39,12/5/1984,R/39/99K,1,0,0,0,0,0
2712,39,12/1/1984,R/39/151F,0,0,0,0,0,0
1713,31,12/7/1976,R/31/49,0,0,0,0,0,0
2336,37,11/6/1982,R/37/9,0,0,0,0,0,0
2379,37,12/1/1982,R/37/78A,0,0,0,0,0,0
1697,31,12/6/1976,R/31/162,0,0,0,0,0,1
2474,37,12/2/1982,R/37/131,0,0,0,0,0,0
2635,38,12/6/1983,R/38/132,0,0,0,0,0,0
2332,37,10/3/1982,R/37/2,0,0,0,0,0,0
1685,31,12/6/1976,R/31/189C,0,1,0,0,0,0
2697,39,12/1/1984,R/39/148E,0,1,1,0,0,0
2599,38,12/6/1983,R/38/162,0,0,0,0,0,0
1827,32,12/1/1977,R/32/210,0,0,0,0,0,0
2355,37,12/2/1982,R/37/86B,1,0,0,1,0,0
2649,39,12/2/1984,R/39/49B,1,0,0,1,0,0
1752,32,12/3/1977,R/32/40B,1,0,0,1,0,0
1625,30,12/4/1975,R/30/3450,0,0,0,0,0,0
2463,37,11/4/1982,R/37/30,0,0,0,0,1,0
1645,30,12/5/1975,R/30/3535,0,0,0,1,0,0
2446,37,12/6/1982,R/37/251,0,0,0,0,0,1
1607,30,12/7/1975,R/30/3484E,0,0,1,0,0,0
1667,31,12/1/1976,R/31/62,1,0,0,0,0,0
2426,37,12/1/1982,R/37/120H,1,0,0,0,0,0
2392,37,12/1/1982,R/37/84,0,0,1,0,0,1
1606,30,12/7/1975,R/30/3484D,0,0,1,0,0,0
1694,31,12/1/1976,R/31/110,1,0,0,0,0,0
2405,37,12/5/1982,R/37/99J,0,0,1,0,0,0
1582,30,11/1/1975,R/30/3375,1,0,0,0,0,0
2511,38,12/6/1983,R/38/39I,0,0,0,0,0,1
1758,32,12/1/1977,R/32/105G,0,0,0,0,0,0
2331,37,10/4/1982,R/37/1,0,0,0,0,0,0
1657,31,11/4/1976,R/31/6G,0,0,0,1,0,0
1610,30,11/6/1975,R/30/3411F,0,0,0,1,0,0
1616,30,12/3/1975,R/30/3525C,1,0,0,1,1,0
1745,32,11/1/1977,R/32/9E,0,0,0,0,0,0
2709,39,12/1/1984,R/39/151B,0,1,0,0,0,0
1723,31,12/5/1976,R/31/150,0,0,0,0,0,0
2369,37,12/5/1982,R/37/233D,0,0,0,0,0,0
2485,37,12/6/1982,R/37/103,0,0,0,0,0,0
2571,38,12/7/1983,R/38/188J,0,0,1,0,0,0
2745,39,12/2/1984,R/39/218,0,0,0,0,0,1
52,2,11/6/1947,R/2/650,0,0,0,0,1,0
57,2,11/1/1947,R/2/743,0,0,0,0,1,0
842,17,12/2/1962,R/17/1178A,0,0,0,0,0,1
20,1,12/1/1946,R/1/1060,0,0,0,0,0,0
36,1,12/7/1946,R/1/1355,0,0,0,0,1,0
734,16,10/6/1961,R/16/507,0,1,0,0,0,0
2481,37,12/6/1982,R/37/243A,0,0,0,0,0,0
1831,32,12/1/1977,R/32/213C,0,0,0,0,0,0
2482,37,12/6/1982,R/37/243C,0,0,0,0,0,0
1651,30,12/5/1975,R/30/3541,0,0,0,0,0,0
1833,32,12/1/1977,R/32/215,0,0,0,0,0,0
2573,38,12/7/1983,R/38/191,0,0,0,0,0,0
2624,38,12/7/1983,R/38/228A,0,0,0,0,0,0
2525,38,12/6/1983,R/38/180D,1,0,0,0,0,0
2732,39,12/5/1984,R/39/99F,1,0,0,0,0,0
1220,26,12/5/1971,R/26/2783E,0,0,0,1,0,0
1216,26,12/5/1971,R/26/2783A,0,0,0,1,0,0
1211,26,12/5/1971,R/26/2784B,0,0,0,1,0,0
1212,26,12/5/1971,R/26/2784C,0,0,0,1,1,0
1213,26,12/5/1971,R/26/2784D,0,0,0,1,0,0
1214,26,12/5/1971,R/26/2784E,0,0,0,1,0,0
1217,26,12/5/1971,R/26/2783B,0,0,0,1,1,0
1215,26,12/5/1971,R/26/2784F,0,0,1,0,0,0
1218,26,12/5/1971,R/26/2783C,0,0,0,1,0,0
1210,26,12/5/1971,R/26/2784A,0,0,0,1,0,0
1219,26,12/5/1971,R/26/2783D,0,0,0,1,0,0
1258,26,12/1/1971,R/26/2828D,0,1,1,0,0,0
1257,26,12/1/1971,R/26/2828C,0,1,1,0,0,0
1243,26,12/6/1971,R/26/2813C,0,1,0,0,0,1
1111,25,9/1/1970,R/25/2668B,0,0,0,0,0,0
1066,24,9/1/1969,,0,0,0,0,0,0
1085,24,12/6/1969,R/24/2545,0,0,0,1,0,0
1166,25,12/5/1970,R/25/2713A,0,0,0,1,0,0
1224,26,12/5/1971,R/26/2787A,1,0,0,0,1,0
1225,26,12/5/1971,R/26/2787B,1,0,0,0,1,0
1122,25,11/2/1970,R/25/2649,1,0,0,0,1,0
1163,25,12/4/1970,R/25/2708C,0,0,0,0,1,0
629,15,10/3/1960,R/15/463,0,0,0,0,0,0
2769,39,12/3/1984,R/39/42,0,0,0,0,1,0
2750,39,12/2/1984,R/39/229,0,0,0,0,0,0
2790,39,12/3/1984,R/39/412,0,0,0,0,1,0
2773,39,12/2/1984,R/39/236/II,0,0,0,0,0,0
2708,39,12/1/1984,R/39/151A,0,0,0,0,0,0
2779,39,12/2/1984,R/39/237C,0,0,0,0,0,0
2739,39,12/1/1984,R/39/163,0,0,0,0,0,1
2786,39,12/4/1984,R/39/90,0,0,0,0,0,0
2647,39,12/2/1984,R/39/48,0,0,0,0,1,0
2642,39,11/2/1984,R/39/6,0,0,0,0,0,0
2636,38,12/6/1983,R/38/133,0,0,0,0,0,0
2645,39,11/2/1984,R/39/13,0,0,0,0,0,0
2641,39,10/4/1984,R/39/5,0,0,0,0,0,0
2640,39,9/5/1984,R/39/2,0,0,0,0,0,0
2777,39,12/2/1984,R/39/237A,0,0,0,0,0,0
2778,39,12/2/1984,R/39/237B,0,0,0,0,0,0
2620,38,12/3/1983,R/38/35A,0,0,0,0,0,0
2469,37,11/4/1982,R/37/125A,0,0,0,0,0,0
1820,32,12/3/1977,R/32/39,0,0,0,0,0,0
1588,30,11/2/1975,R/30/3389,0,0,0,0,0,0
1618,30,12/7/1975,R/30/3586,0,0,0,0,0,1
2549,38,12/7/1983,R/38/183B,0,1,1,0,0,0
2615,38,12/3/1983,R/38/113,0,0,0,1,0,0
2583,38,12/2/1983,R/38/81,0,0,0,0,0,0
2643,39,11/2/1984,R/39/9,0,0,0,0,0,0
2458,37,12/3/1982,R/37/189B,0,0,0,0,0,0
2593,38,12/2/1983,R/38/83K,1,0,0,0,1,0
2394,37,12/5/1982,R/37/95B,0,0,1,0,0,0
2561,38,12/7/1983,R/38/184B,0,0,0,0,0,0
2688,39,12/3/1984,R/39/64B,0,0,0,0,0,0
2695,39,12/1/1984,R/39/148C,0,1,1,0,0,0
2764,39,12/5/1984,R/39/134,0,0,0,1,0,0
2359,37,12/5/1982,R/37/123A,1,0,0,0,1,0
2724,39,12/5/1984,R/39/95F,1,0,0,0,1,0
2416,37,12/2/1982,R/37/88E,1,0,0,0,1,0
1744,32,11/1/1977,R/32/9D,0,0,0,1,1,0
2345,37,12/1/1982,R/37/69A,0,0,0,0,0,0
1702,31,11/4/1976,R/31/33,1,0,0,0,0,1
1653,31,11/4/1976,R/31/6A,0,0,0,1,0,0
1748,32,11/1/1977,R/32/9H,0,0,0,0,0,0
1762,32,12/1/1977,R/32/105K,0,0,0,0,0,0
1630,30,11/5/1975,R/30/3397,0,0,0,0,0,0
1725,31,12/5/1976,R/31/154B,0,0,0,0,0,0
1719,31,12/5/1976,R/31/146,0,0,0,1,1,0
1689,31,12/1/1976,R/31/106A,1,0,0,0,1,0
1761,32,12/1/1977,R/32/105J,0,0,0,1,0,0
1771,32,12/6/1977,R/32/81,0,1,1,0,0,0
2654,39,12/3/1984,R/39/50C,0,0,0,0,0,0
2621,38,12/3/1983,R/38/35B,0,0,0,0,0,0
2393,37,12/1/1982,R/37/85,0,1,0,0,0,0
2470,37,12/2/1982,R/37/126,0,0,0,0,0,0
1770,32,12/6/1977,R/32/80,0,0,1,0,0,0
2357,37,12/2/1982,R/37/86D,1,0,0,0,0,0
1601,30,12/6/1975,R/30/3478,0,1,1,0,0,0
1825,32,12/1/1977,R/32/205,0,0,0,0,0,0
2387,37,12/1/1982,R/37/78K,0,0,1,0,0,0
1594,30,12/6/1975,R/30/3468,0,0,0,0,0,0
2398,37,12/5/1982,R/37/98E,0,0,0,0,0,0
1836,32,12/1/1977,R/32/452,0,0,0,0,0,0
1673,31,12/2/1976,R/31/70,0,1,1,0,0,0
2478,37,12/6/1982,R/37/237/XI,0,0,0,0,0,0
1795,32,12/6/1977,R/32/161,1,0,0,0,1,1
1739,31,12/7/1976,R/31/208/III,0,0,0,0,0,0
1828,32,12/1/1977,R/32/212A,0,0,0,0,0,0
2473,37,12/2/1982,R/37/130,0,0,0,0,0,0
1810,32,12/3/1977,R/32/142,0,0,0,1,0,0
2442,37,12/5/1982,R/37/222,1,0,0,0,1,0
1797,32,12/6/1977,R/32/171,1,0,0,0,1,0
2441,37,12/5/1982,R/37/215,0,0,0,0,0,0
1800,32,11/4/1977,R/32/12,0,0,0,1,0,0
1706,31,12/5/1976,R/31/80,0,0,0,1,0,0
2452,37,12/2/1982,R/37/47,0,0,0,1,0,0
2435,37,12/2/1982,R/37/140,0,0,0,0,0,0
1738,31,12/7/1976,R/31/208/I,0,0,0,0,0,0
1826,32,12/1/1977,R/32/208,0,0,0,0,0,0
2487,37,12/6/1982,R/37/105,0,0,0,0,0,0
2488,37,12/6/1982,R/37/114,0,0,0,0,0,0
1731,31,12/7/1976,R/31/195,0,0,0,0,0,0
1596,30,12/6/1975,R/30/3472A,0,1,1,0,0,0
1801,32,11/4/1977,R/32/13,0,0,0,1,0,0
2434,37,12/2/1982,R/37/138,0,0,0,0,0,1
1824,32,12/1/1977,R/32/204,0,0,0,0,0,0
1730,31,12/2/1976,R/31/141,0,0,0,0,0,0
2451,37,12/2/1982,R/37/46,0,0,0,1,0,0
2436,37,12/2/1982,R/37/142,0,0,0,0,0,0
2437,37,12/2/1982,R/37/144,0,0,0,0,0,1
2614,38,12/3/1983,R/38/112,0,0,0,0,0,0
2595,38,12/6/1983,R/38/144,1,0,0,0,1,1
2683,39,12/3/1984,R/39/63C,0,1,1,0,0,0
2699,39,12/1/1984,R/39/148G,0,1,1,0,0,0
2443,37,12/5/1982,R/37/230,0,0,0,0,0,1
2685,39,12/3/1984,R/39/63G,0,1,1,0,0,0
1783,32,12/6/1977,R/32/153,0,0,0,0,0,0
2532,38,12/2/1983,R/38/68,0,1,0,0,0,0
2422,37,12/1/1982,R/37/120D,1,0,0,0,0,0
2338,37,11/6/1982,R/37/19,0,1,0,0,0,0
2672,39,12/3/1984,R/39/52,0,1,0,0,0,0
1772,32,12/6/1977,R/32/82,1,1,1,0,0,0
1807,32,12/3/1977,R/32/126,0,0,0,0,0,0
2527,38,12/2/1983,R/38/61,0,1,1,0,0,0
2592,38,12/2/1983,R/38/83J,1,0,0,0,0,0
1792,32,12/2/1977,R/32/113,0,0,0,0,0,1
2710,39,12/1/1984,R/39/151D,0,1,1,0,0,0
1775,32,12/6/1977,R/32/84B,0,1,1,0,0,1
1740,31,12/5/1976,R/31/76,0,0,0,0,0,0
2538,38,12/2/1983,R/38/73E,0,1,1,0,0,0
