rcid,session,date,unres,me,nu,di,hr,co,ec
610,14,12/2/1959,R/14/746B,0,0,0,1,0,0
614,14,12/2/1959,R/14/747B,0,0,0,1,0,0
3345,43,12/4/1988,R/43/87,0,0,0,0,0,0
3840,49,12/5/1994,R/49/75F,0,1,1,0,0,0
3939,50,12/3/1995,R/50/70Q,0,1,1,0,0,0
4248,55,11/3/2000,R/55/33D,0,1,1,0,0,0
4320,56,11/6/2001,R/56/24O,0,1,1,0,0,0
4690,61,12/6/2006,R/61/70,0,1,1,0,0,0
5152,66,12/2/2011,R/66/33,0,1,1,0,0,0
5406,70,12/7/2015,R/70/28,0,1,1,0,0,0
2807,40,12/2/1985,R/40/56,0,0,0,0,1,0
4298,55,12/7/2000,R/55/146,0,0,0,0,1,0
3506,45,11/3/1990,R/45/33,0,0,0,0,1,0
2848,40,12/5/1985,R/40/94M,0,1,1,0,0,0
3330,43,12/4/1988,R/43/77B,0,0,1,0,0,0
3023,41,12/4/1986,R/41/68E,0,0,0,0,0,0
5365,69,12/18/2014,R/69/162,0,0,0,0,0,0
5446,70,12/17/2015,R/70/140,0,0,0,0,0,0
4254,55,11/3/2000,R/55/33R,0,1,1,0,0,0
4319,56,11/6/2001,R/56/24N,0,1,1,0,0,0
4391,57,11/7/2002,R/57/78,0,1,1,0,0,0
4573,59,12/3/2004,R/59/76,0,1,0,0,0,0
4503,58,12/8/2003,R/58/59,0,1,0,0,0,0
4567,59,12/3/2004,R/59/75,0,1,1,0,0,0
4466,58,12/22/2003,R/58/179,0,0,0,0,0,0
3873,49,4/3/1995,R/49/243,0,0,0,1,0,1
3372,43,12/5/1988,R/43/177,1,0,0,0,0,0
3349,43,12/5/1988,R/43/97,0,0,0,1,0,0
3183,42,12/6/1987,R/42/74,0,0,0,0,1,1
3438,44,12/2/1989,R/44/84,0,0,0,0,1,1
2805,40,12/2/1985,R/40/52,0,0,0,0,1,1
2953,41,10/6/1986,R/41/14,0,0,0,0,1,1
3265,43,11/3/1988,R/43/29,0,0,0,0,1,1
3757,48,12/6/1993,R/48/46,0,0,0,0,1,1
3503,45,11/3/1990,R/45/17,0,0,0,0,1,1
3630,46,12/4/1991,R/46/64,0,0,0,0,1,1
3821,49,12/6/1994,R/49/40,0,0,0,0,1,1
3895,50,12/4/1995,R/50/33,0,0,0,0,1,1
4027,51,12/6/1996,R/51/140,0,0,0,0,1,1
3668,47,11/2/1992,R/47/15,0,0,0,0,1,1
4632,60,12/8/2005,R/60/68,0,0,0,1,0,1
3056,41,12/5/1986,R/41/95,0,0,0,1,1,1
3348,43,12/5/1988,R/43/92,0,0,0,1,1,1
3568,45,12/6/1990,R/45/84,0,0,0,1,1,1
3658,46,12/6/1991,R/46/199,1,0,0,0,0,1
3989,51,12/3/1996,R/51/45M,0,1,1,0,0,0
3692,47,12/6/1992,R/47/63A,1,0,0,0,1,0
2901,40,12/2/1985,R/40/161F,1,0,0,0,0,0
3020,41,12/4/1986,R/41/63G,1,0,0,0,0,0
3217,42,12/3/1987,R/42/160F,1,0,0,0,0,0
3298,43,12/3/1988,R/43/58F,1,0,0,0,0,0
3429,44,12/6/1989,R/44/48F,1,0,0,0,0,0
3558,45,12/3/1990,R/45/74F,1,0,0,0,0,0
3625,46,12/2/1991,R/46/47F,1,0,0,0,0,0
3714,47,12/2/1992,R/47/70F,1,0,0,0,0,0
3368,43,12/5/1988,R/43/175A,1,0,0,1,0,0
3410,44,12/4/1989,R/44/41A,1,0,0,1,0,0
3539,45,12/5/1990,R/45/67A,1,0,0,1,0,0
3634,46,12/4/1991,R/46/74A,1,0,0,1,0,0
3392,44,11/6/1989,R/44/24,0,0,0,0,0,1
4055,52,12/3/1997,R/52/38L,0,1,1,0,0,0
3803,48,7/6/1994,R/48/263,0,0,0,0,0,0
4143,53,12/6/1998,R/53/77J,0,0,1,0,0,0
4818,62,12/19/2007,R/62/190,0,0,0,0,0,1
5041,64,12/21/2009,R/64/197,0,0,0,0,0,1
5140,66,12/22/2011,R/66/195,0,0,0,0,0,1
5305,68,12/20/2013,R/68/209,0,0,0,0,0,1
5462,70,12/22/2015,R/70/198,0,0,0,0,0,1
1574,29,12/4/1974,R/29/3357,0,0,0,0,0,0
2864,40,12/6/1985,R/40/124,0,0,0,1,0,0
3065,41,12/5/1986,R/41/131,0,0,0,1,0,0
3197,42,12/2/1987,R/42/119,0,0,0,1,0,0
3355,43,12/5/1988,R/43/125,0,0,0,1,0,0
3356,43,12/5/1988,R/43/126,0,0,0,1,0,0
3433,44,12/6/1989,R/44/63,0,0,0,1,0,0
3571,45,12/6/1990,R/45/96,0,0,0,1,0,0
3651,46,12/3/1991,R/46/117,0,0,0,1,0,0
3727,47,12/6/1992,R/47/137,0,0,0,1,0,0
3789,48,12/2/1993,R/48/123,0,0,0,1,0,0
3863,49,12/6/1994,R/49/186,0,0,0,1,0,0
1560,29,12/6/1974,R/29/3290,0,0,0,0,1,0
1329,27,12/7/1972,R/27/3016A,,,,,,
1579,29,12/3/1974,R/29/3349A,0,0,0,0,0,0
1397,27,12/1/1972,,0,0,0,0,0,0
1361,27,12/7/1972,R/27/3034D,0,0,0,0,0,0
1360,27,12/7/1972,R/27/3034C,0,0,0,0,0,0
1427,28,10/7/1973,R/28/3181B,0,0,0,0,0,0
1316,27,12/4/1972,R/27/2948A,,,,,,
1345,27,12/7/1972,R/27/3018A,0,0,0,0,0,1
1429,28,12/1/1973,R/28/3181D,0,0,0,0,0,"0"""
1356,27,12/7/1972,R/27/3032B,0,0,0,1,0,0
3445,44,12/6/1989,R/44/106,0,1,0,0,0,0
3516,45,12/3/1990,R/45/50,0,1,0,0,0,0
3593,46,12/6/1991,R/46/28,0,1,0,0,0,0
3675,47,12/4/1992,R/47/46,0,1,0,0,0,0
3768,48,12/5/1993,R/48/69,0,1,0,0,0,0
3833,49,12/5/1994,R/49/69,0,1,0,0,0,0
3924,50,12/3/1995,R/50/64,0,1,0,0,0,0
1557,29,12/3/1974,,0,0,0,0,0,0
1502,28,12/2/1973,R/28/3198A,0,0,0,0,0,0
1458,28,12/1/1973,R/28/3074B,0,0,0,1,0,0
1459,28,12/1/1973,R/28/3074C,0,0,0,1,0,0
1460,28,12/1/1973,R/28/3074D,0,0,0,1,0,0
1457,28,11/7/1973,R/28/3074A,0,0,0,1,0,0
1486,28,12/5/1973,R/28/3151G,0,0,0,1,0,0
1487,28,12/5/1973,R/28/3151H,0,0,0,1,0,0
1434,28,12/5/1973,R/28/3089C,0,0,0,0,0,0
3898,50,12/4/1995,R/50/38B/I,0,0,0,0,0,0
3994,51,12/3/1996,R/51/45S,0,0,1,0,0,0
2892,40,12/2/1985,R/40/156B,0,0,0,0,0,1
3050,41,12/5/1986,R/41/88B,0,0,0,0,0,1
1256,26,12/1/1971,R/26/2828B,0,1,1,0,0,0
4880,63,12/5/2008,R/63/96,1,0,0,1,1,0
4126,53,12/5/1998,R/53/54,1,0,0,1,1,0
4078,52,12/4/1997,R/52/65,1,0,0,1,1,0
3016,41,12/4/1986,R/41/63C,1,0,0,1,1,0
4290,55,12/7/2000,R/55/131,1,0,0,1,1,0
4717,61,12/14/2006,R/61/117,1,0,0,1,1,0
4790,62,12/17/2007,R/62/107,1,0,0,1,1,0
4483,58,12/9/2003,R/58/97,1,0,0,1,1,0
4555,59,12/10/2004,R/59/122,1,0,0,1,1,0
4646,60,12/8/2005,R/60/105,1,0,0,1,1,0
5020,64,12/10/2009,R/64/92,1,0,0,1,1,0
5083,65,12/10/2010,R/65/103,1,0,0,1,1,0
5218,67,12/18/2012,R/67/119,1,0,0,1,1,0
5283,68,12/11/2013,R/68/81,1,0,0,1,1,0
5356,69,12/5/2014,R/69/91,1,0,0,1,1,0
5436,70,12/9/2015,R/70/88,1,0,0,1,1,0
4411,57,12/5/2002,R/57/125,1,0,0,1,1,0
4340,56,12/3/2001,R/56/60,1,0,0,1,1,0
5171,66,12/9/2011,R/66/77,1,0,0,1,1,0
4208,54,12/2/1999,R/54/77,1,0,0,1,1,0
2897,40,12/2/1985,R/40/161B,1,0,0,1,1,0
3117,42,11/6/1987,R/42/23B,0,0,0,0,0,0
2810,40,12/2/1985,R/40/59A,0,0,0,0,0,0
2933,40,12/4/1985,R/40/246A,1,0,0,0,0,0
1498,28,12/2/1973,R/28/3195A,0,0,0,0,0,0
1472,28,12/5/1973,R/28/3155,0,0,0,0,1,0
2896,40,12/2/1985,R/40/161A,1,0,0,0,0,0
2792,40,11/6/1985,R/40/6,1,1,1,0,0,0
2951,41,10/3/1986,R/41/12,1,1,1,0,0,0
4138,53,12/6/1998,R/53/76,0,0,1,0,0,0
3385,44,9/5/1989,R/44/1,0,0,0,0,0,0
3229,42,12/6/1987,R/42/199,1,0,0,0,0,1
3092,41,12/2/1986,R/41/200,0,0,0,0,0,0
3068,41,12/5/1986,R/41/141,0,0,0,0,0,0
3201,42,12/2/1987,R/42/139,0,0,0,0,0,0
3233,42,12/6/1987,R/42/203,0,0,0,0,0,0
3090,41,12/2/1986,R/41/197,0,0,0,0,0,0
4490,58,12/9/2003,R/58/91,1,0,0,0,0,0
4560,59,12/10/2004,R/59/117,1,0,0,0,0,0
4642,60,12/8/2005,R/60/100,1,0,0,0,0,0
4715,61,12/14/2006,R/61/112,1,0,0,0,0,0
4794,62,12/17/2007,R/62/102,1,0,0,0,0,0
4867,63,12/5/2008,R/63/91,1,0,0,0,0,0
5019,64,12/10/2009,R/64/87,1,0,0,0,0,0
5094,65,12/10/2010,R/65/98,1,0,0,0,0,0
5166,66,12/9/2011,R/66/72,1,0,0,0,0,0
5213,67,12/18/2012,R/67/114,1,0,0,0,0,0
5285,68,12/11/2013,R/68/76,1,0,0,0,0,0
5351,69,12/5/2014,R/69/86,1,0,0,0,0,0
5431,70,12/9/2015,R/70/83,1,0,0,0,0,0
4485,58,12/9/2003,R/58/95,1,0,0,0,0,0
3773,48,12/5/1993,R/48/75H,0,0,1,0,0,0
3841,49,12/5/1994,R/49/75G,0,0,1,0,0,0
4476,58,12/17/2003,R/58/113,1,0,0,0,0,0
4710,61,12/14/2006,R/61/135,1,0,0,0,0,0
4103,52,12/3/1997,R/52/169F,0,0,0,0,0,0
3089,41,12/2/1986,R/41/195,0,0,0,0,0,0
3219,42,12/3/1987,R/42/162A,0,0,0,0,0,0
3220,42,12/3/1987,R/42/162B,0,0,0,0,0,0
3300,43,12/3/1988,R/43/60A,0,0,0,0,0,0
3301,43,12/3/1988,R/43/60B,0,0,0,0,0,0
3431,44,12/6/1989,R/44/50,0,0,0,0,0,0
4052,52,12/3/1997,R/52/38H,0,0,1,0,0,0
5391,69,9/10/2015,R/69/319,0,0,0,0,0,1
3900,50,12/4/1995,R/50/38B/III,0,0,0,0,0,0
1559,29,12/6/1974,R/29/3289,0,0,0,0,1,0
3046,41,12/5/1986,R/41/86N,0,1,1,0,0,0
3136,42,11/2/1987,R/42/38D,0,1,1,0,0,0
3321,43,12/4/1988,R/43/75O,0,1,1,0,0,0
3461,44,12/6/1989,R/44/116K,0,1,1,0,0,0
3525,45,12/3/1990,R/45/58H,0,1,1,0,0,0
3601,46,12/6/1991,R/46/36J,0,1,1,0,0,0
4154,53,12/6/1998,R/53/77Z,0,1,1,0,0,0
3846,49,12/5/1994,R/49/75P,0,1,1,0,0,0
3933,50,12/3/1995,R/50/70I,0,1,1,0,0,0
3937,50,12/3/1995,R/50/70N,0,1,1,0,0,0
3987,51,12/3/1996,R/51/45I,0,1,1,0,0,0
3993,51,12/3/1996,R/51/45R,0,1,1,0,0,0
4056,52,12/3/1997,R/52/38M,0,1,1,0,0,0
2880,40,12/2/1985,R/40/152B,0,1,1,0,0,0
3901,50,12/4/1995,R/50/38B/IV,0,0,0,0,0,0
2938,40,12/4/1985,R/40/253A,0,0,0,0,0,0
3243,42,12/2/1987,R/42/226A,0,0,0,0,0,0
1556,29,12/3/1974,,0,0,0,0,0,0
2853,40,12/5/1985,R/40/96D,1,0,0,0,0,0
2980,41,12/3/1986,R/41/43D,1,0,0,0,0,0
3168,42,12/4/1987,R/42/66D,1,0,0,0,0,0
3236,42,12/6/1987,R/42/209/A,1,0,0,0,0,0
3371,43,12/5/1988,R/43/176,1,0,0,0,0,0
3542,45,12/5/1990,R/45/68,1,0,0,0,0,0
3637,46,12/4/1991,R/46/75,1,0,0,0,0,0
3172,42,12/4/1987,R/42/69F,1,0,0,0,0,0
3288,43,12/3/1988,R/43/57F,1,0,0,0,0,0
3418,44,12/6/1989,R/44/47F,1,0,0,0,0,0
3547,45,12/3/1990,R/45/73F,1,0,0,0,0,0
3614,46,12/2/1991,R/46/46F,1,0,0,0,0,0
3703,47,12/2/1992,R/47/69F,1,0,0,0,0,0
2908,40,12/2/1985,R/40/165F,1,0,0,0,0,0
3027,41,12/4/1986,R/41/69F,1,0,0,0,0,0
2813,40,12/3/1985,R/40/63,0,0,0,0,0,0
2959,41,11/4/1986,R/41/34,0,0,0,0,0,0
3115,42,11/4/1987,R/42/20,0,0,0,0,0,0
3253,43,11/3/1988,R/43/18,0,0,0,0,0,0
3393,44,11/2/1989,R/44/26,0,0,0,0,0,0
3574,45,12/6/1990,R/45/145,0,0,0,0,0,0
3639,46,12/5/1991,R/46/78,0,0,0,0,0,0
3699,47,12/6/1992,R/47/65,0,0,0,0,0,0
3743,48,12/5/1993,R/48/28,0,0,0,0,0,0
3808,49,12/3/1994,R/49/28,0,0,0,0,0,0
3883,50,12/3/1995,R/50/23,0,0,0,0,0,0
3975,51,12/3/1996,R/51/34,0,0,0,0,0,0
4044,52,11/4/1997,R/52/26,0,0,0,0,0,0
4111,53,11/3/1998,R/53/32,0,0,0,0,0,0
4239,55,10/3/2000,R/55/7,0,0,0,0,0,0
4307,56,11/5/2001,R/56/12,0,0,0,0,0,0
4420,57,12/6/2002,R/57/141,0,0,0,0,0,0
3198,42,12/2/1987,R/42/134,0,1,0,0,0,0
3324,43,12/4/1988,R/43/75T,0,1,0,0,0,0
3465,44,12/6/1989,R/44/116R,0,1,0,0,0,0
3527,45,12/3/1990,R/45/58K,0,1,0,0,0,0
2912,40,12/2/1985,R/40/165J,1,0,0,0,0,0
3031,41,12/4/1986,R/41/69J,1,0,0,0,0,0
3176,42,12/4/1987,R/42/69J,1,0,0,0,0,0
2840,40,12/5/1985,R/40/93,1,1,1,0,0,0
3055,41,12/5/1986,R/41/93,1,1,1,0,0,0
3159,42,11/2/1987,R/42/44,1,1,1,0,0,0
3339,43,12/4/1988,R/43/80,1,1,1,0,0,0
3479,44,12/6/1989,R/44/121,1,1,1,0,0,0
3538,45,12/3/1990,R/45/63,1,1,1,0,0,0
3608,46,12/6/1991,R/46/39,1,1,1,0,0,0
3687,47,12/4/1992,R/47/55,1,1,1,0,0,0
3778,48,12/5/1993,R/48/78,1,1,1,0,0,0
3849,49,12/5/1994,R/49/78,1,1,1,0,0,0
3941,50,12/3/1995,R/50/73,1,1,1,0,0,0
3997,51,12/3/1996,R/51/48,1,1,1,0,0,0
4063,52,12/3/1997,R/52/41,1,1,1,0,0,0
4156,53,12/6/1998,R/53/80,1,1,1,0,0,0
4197,54,12/4/1999,R/54/57,1,1,1,0,0,0
4260,55,11/3/2000,R/55/36,1,1,1,0,0,0
4325,56,11/6/2001,R/56/27,1,1,1,0,0,0
4396,57,11/7/2002,R/57/97,1,1,1,0,0,0
3014,41,12/4/1986,R/41/63A,1,0,0,0,0,0
4023,51,12/6/1996,R/51/135,1,0,0,0,0,0
4081,52,12/4/1997,R/52/68,1,0,0,0,0,0
4129,53,12/5/1998,R/53/57,1,0,0,0,0,0
4211,54,12/2/1999,R/54/80,1,0,0,0,0,0
4293,55,12/7/2000,R/55/134,1,0,0,0,0,0
4343,56,12/3/2001,R/56/63,1,0,0,0,0,0
4414,57,12/5/2002,R/57/128,1,0,0,0,0,0
3053,41,12/5/1986,R/41/91,0,0,0,0,0,0
3344,43,12/4/1988,R/43/86,0,0,0,0,0,0
2796,40,11/2/1985,R/40/18,0,0,1,0,0,0
3036,41,12/5/1986,R/41/86A,0,0,1,0,0,0
3134,42,11/2/1987,R/42/38A,0,0,1,0,0,0
3313,43,12/4/1988,R/43/75A,0,0,1,0,0,0
3456,44,12/6/1989,R/44/116B,0,0,1,0,0,0
3524,45,12/3/1990,R/45/58B,0,0,1,0,0,0
4032,51,12/3/1996,R/51/193,0,0,0,0,0,0
2814,40,12/3/1985,R/40/64A,0,0,0,0,0,0
2961,41,11/2/1986,R/41/35B,0,0,0,0,0,0
3118,42,11/6/1987,R/42/23C,0,0,0,0,0,0
3275,43,12/2/1988,R/43/50C,0,0,0,0,0,0
3395,44,11/4/1989,R/44/27C,0,0,0,0,0,0
3902,50,12/4/1995,R/50/38B/V,0,0,0,0,0,0
3124,42,11/2/1987,R/42/26A,0,1,0,0,0,0
3125,42,11/2/1987,R/42/26B,0,1,0,0,0,0
3303,43,12/4/1988,R/43/63A,0,1,0,0,0,0
3304,43,12/4/1988,R/43/63B,0,1,0,0,0,0
3444,44,12/6/1989,R/44/105,0,1,0,0,0,0
3515,45,12/3/1990,R/45/49,0,1,0,0,0,0
2984,41,12/4/1986,R/41/46A,0,1,0,0,0,0
2985,41,12/4/1986,R/41/46B,0,1,0,0,0,0
2889,40,12/2/1985,R/40/152P,0,1,1,0,0,0
3039,41,12/5/1986,R/41/86F,0,1,1,0,0,0
3151,42,11/2/1987,R/42/42C,0,1,1,0,0,0
3334,43,12/4/1988,R/43/78E,0,1,1,0,0,0
3476,44,12/6/1989,R/44/119E,0,1,1,0,0,0
3535,45,12/3/1990,R/45/62C,0,1,1,0,0,0
2921,40,12/3/1985,R/40/182,0,0,0,0,0,1
3490,44,12/3/1989,R/44/170,0,0,0,0,0,1
3529,45,12/3/1990,R/45/58N,0,0,0,0,0,0
2839,40,12/5/1985,R/40/92C,0,0,1,0,0,0
2883,40,12/2/1985,R/40/152G,0,1,0,0,0,0
3041,41,12/5/1986,R/41/86H,0,1,0,0,0,0
3333,43,12/4/1988,R/43/78D,0,1,0,0,0,0
4614,60,12/16/2005,R/60/150,0,0,0,1,0,0
4803,62,12/18/2007,R/62/154,0,0,0,1,0,0
4897,63,12/18/2008,R/63/171,0,0,0,1,0,0
5035,64,12/18/2009,R/64/156,0,0,0,1,0,0
5107,65,12/21/2010,R/65/224,0,0,0,1,0,0
4730,61,12/19/2006,R/61/164,0,0,0,1,0,0
5301,68,12/18/2013,R/68/150,0,0,0,0,0,0
5364,69,12/18/2014,R/69/160,0,0,0,0,0,0
5445,70,12/17/2015,R/70/139,0,0,0,0,0,0
4780,62,12/10/2007,R/62/80,1,0,0,1,0,0
4840,63,11/26/2008,R/63/26,1,0,0,1,0,0
4587,59,12/1/2004,R/59/28,1,0,0,1,0,0
3796,48,12/2/1993,R/48/158A,1,0,0,1,0,0
3826,49,12/4/1994,R/49/62A,1,0,0,1,0,0
3943,50,12/6/1995,R/50/84A,1,0,0,1,0,0
3967,51,12/4/1996,R/51/23,1,0,0,1,0,0
4065,52,12/3/1997,R/52/49,1,0,0,1,0,0
4115,53,12/4/1998,R/53/39,1,0,0,1,0,0
4174,54,12/4/1999,R/54/39,1,0,0,1,0,0
4265,55,12/7/2000,R/55/52,1,0,0,1,0,0
4328,56,12/3/2001,R/56/33,1,0,0,1,0,0
4398,57,12/4/2002,R/57/107,1,0,0,1,0,0
4515,58,12/3/2003,R/58/18,1,0,0,1,0,0
4662,60,12/1/2005,R/60/36,1,0,0,1,0,0
4674,61,12/1/2006,R/61/22,1,0,0,1,0,0
4981,64,12/2/2009,R/64/16,1,0,0,1,0,0
5052,65,11/30/2010,R/65/13,1,0,0,1,0,0
5119,66,11/30/2011,R/66/14,1,0,0,1,0,0
5183,67,11/30/2012,R/67/20,1,0,0,1,0,0
5255,68,11/26/2013,R/68/12,1,0,0,1,0,0
5315,69,11/25/2014,R/69/20,1,0,0,1,0,0
5396,70,11/24/2015,R/70/12,1,0,0,1,0,0
4624,60,12/8/2005,R/60/55,0,0,1,0,0,0
5160,66,12/2/2011,R/66/49,0,1,1,0,0,0
5341,69,12/2/2014,R/69/59,0,1,1,0,0,0
4853,63,12/2/2008,R/63/59,0,1,1,0,0,0
4734,61,12/19/2006,R/61/159,0,0,0,1,0,0
3347,43,12/4/1988,R/43/89,0,0,0,0,0,0
4371,56,3/5/2002,R/56/266,0,0,0,1,0,0
3594,46,12/6/1991,R/46/29,0,1,0,0,0,0
3676,47,12/4/1992,R/47/47,0,1,0,0,0,0
3962,50,9/3/1996,R/50/245,0,1,0,0,0,0
4200,54,12/4/1999,R/54/63,0,1,0,0,0,0
4261,55,11/3/2000,R/55/41,0,1,0,0,0,0
4397,57,11/7/2002,R/57/100,0,1,0,0,0,0
4499,58,12/8/2003,R/58/71,0,1,0,0,0,0
4572,59,12/3/2004,R/59/109,0,1,0,0,0,0
4641,60,12/8/2005,R/60/95,0,1,0,0,0,0
4703,61,12/6/2006,R/61/104,0,1,0,0,0,0
4846,63,12/2/2008,R/63/87,0,1,0,0,0,0
5006,64,12/2/2009,R/64/69,0,1,0,0,0,0
5070,65,12/8/2010,R/65/91,0,1,0,0,0,0
5165,66,12/2/2011,R/66/64,0,1,0,0,0,0
5211,67,12/3/2012,R/67/76,0,1,0,0,0,0
5274,68,12/5/2013,R/68/68,0,1,0,0,0,0
5348,69,12/2/2014,R/69/81,0,1,0,0,0,0
5429,70,12/7/2015,R/70/73,0,1,0,0,0,0
4776,62,12/5/2007,R/62/59,0,1,0,0,0,0
3473,44,12/6/1989,R/44/119A,0,0,1,0,0,0
3475,44,12/6/1989,R/44/119D,0,0,1,0,0,0
3606,46,12/6/1991,R/46/38B,0,0,1,0,0,0
3537,45,12/3/1990,R/45/62E,0,0,1,0,0,0
4024,51,12/6/1996,R/51/136,0,0,0,0,0,0
3001,41,12/4/1986,R/41/59H,0,0,1,0,0,1
3189,42,12/2/1987,R/42/93,0,0,0,0,0,0
3320,43,12/4/1988,R/43/75N,0,1,1,0,0,0
3579,45,12/4/1990,R/45/176B,0,0,0,1,0,0
2821,40,12/3/1985,R/40/64I,0,0,0,1,0,0
2966,41,11/2/1986,R/41/35H,0,0,0,1,0,0
3122,42,11/6/1987,R/42/23G,0,0,0,1,0,0
3281,43,12/2/1988,R/43/50K,0,0,0,1,0,0
3402,44,11/4/1989,R/44/27K,0,0,0,1,0,0
2830,40,12/5/1985,R/40/85,0,1,0,0,0,0
2988,41,12/4/1986,R/41/51,0,1,0,0,0,0
3128,42,11/2/1987,R/42/31,0,1,0,0,0,0
3307,43,12/4/1988,R/43/68,0,1,0,0,0,0
3448,44,12/6/1989,R/44/110,0,1,0,0,0,0
3449,44,12/6/1989,R/44/111,0,1,0,0,0,0
2831,40,12/5/1985,R/40/86,0,1,0,0,0,0
3129,42,11/2/1987,R/42/32,0,1,0,0,0,0
3308,43,12/4/1988,R/43/69,0,1,0,0,0,0
3519,45,12/3/1990,R/45/54,0,1,0,0,0,0
3596,46,12/6/1991,R/46/32,0,1,0,0,0,0
3678,47,12/4/1992,R/47/50,0,1,0,0,0,0
3770,48,12/5/1993,R/48/73,0,1,0,0,0,0
3835,49,12/5/1994,R/49/73,0,1,0,0,0,0
3926,50,12/3/1995,R/50/68,0,1,0,0,0,0
3979,51,12/3/1996,R/51/43,0,1,0,0,0,0
4047,52,12/3/1997,R/52/36,0,1,0,0,0,0
4137,53,12/6/1998,R/53/75,0,1,0,0,0,0
2989,41,12/4/1986,R/41/52,0,1,0,0,0,0
4180,54,12/4/1999,R/54/52,0,1,0,0,0,0
4243,55,11/3/2000,R/55/31,0,1,0,0,0,0
4310,56,11/6/2001,R/56/22,0,1,0,0,0,0
4377,57,11/7/2002,R/57/56,0,1,0,0,0,0
4520,58,12/8/2003,R/58/35,0,1,0,0,0,0
4580,59,12/3/2004,R/59/64,0,1,0,0,0,0
4622,60,12/8/2005,R/60/53,0,1,0,0,0,0
4698,61,12/6/2006,R/61/57,0,1,0,0,0,0
5007,64,12/2/2009,R/64/27,0,1,0,0,0,0
5057,65,12/8/2010,R/65/43,0,1,0,0,0,0
5147,66,12/2/2011,R/66/26,0,1,0,0,0,0
5189,67,12/3/2012,R/67/29,0,1,0,0,0,0
5257,68,12/5/2013,R/68/28,0,1,0,0,0,0
5322,69,12/2/2014,R/69/30,0,1,1,0,0,0
5403,70,12/7/2015,R/70/25,0,1,0,0,0,0
4863,63,12/2/2008,R/63/39,0,1,0,0,0,0
4755,62,12/5/2007,R/62/19,0,1,0,0,0,0
2835,40,12/5/1985,R/40/89B,0,1,1,0,0,0
3311,43,12/4/1988,R/43/71B,0,1,1,0,0,0
3452,44,12/6/1989,R/44/113B,0,1,1,0,0,0
3523,45,12/3/1990,R/45/56B,0,1,1,0,0,0
3598,46,12/6/1991,R/46/34A,0,1,1,0,0,0
3384,43,4/5/1989,R/43/233,1,0,0,1,0,0
3255,43,11/5/1988,R/43/21,1,0,0,1,0,0
3386,44,10/6/1989,R/44/2,1,0,0,1,0,0
3543,45,12/5/1990,R/45/69,1,0,0,1,0,0
3638,46,12/4/1991,R/46/76,1,0,0,1,0,0
2999,41,12/4/1986,R/41/59E,0,0,1,0,0,0
4502,58,12/8/2003,R/58/43,0,0,0,0,0,0
3521,45,12/3/1990,R/45/55B,0,0,0,0,0,0
3511,45,11/4/1990,R/45/39,0,0,0,0,0,0
3009,41,12/4/1986,R/41/60C,0,0,0,0,0,0
3685,47,12/4/1992,R/47/53F,0,0,0,0,0,0
3776,48,12/5/1993,R/48/76A,0,0,0,0,0,0
4702,61,12/6/2006,R/61/76,0,0,1,0,0,0
4852,63,12/2/2008,R/63/62,0,0,1,0,0,0
2998,41,12/4/1986,R/41/59D,0,0,1,0,0,0
3932,50,12/3/1995,R/50/70F,0,0,1,0,0,0
3983,51,12/3/1996,R/51/45C,0,0,1,0,0,0
5063,65,12/8/2010,R/65/66,0,0,1,0,0,0
4695,61,12/6/2006,R/61/60,0,0,1,0,0,0
4775,62,12/5/2007,R/62/29,0,0,1,0,0,0
4760,62,12/5/2007,R/62/44,0,0,1,0,0,0
3779,48,12/5/1993,R/48/79,0,0,1,1,0,0
4823,62,12/22/2007,R/62/218,0,0,0,1,0,0
4595,60,12/23/2005,R/60/230,0,0,0,1,0,0
4037,51,5/4/1997,R/51/229,0,0,0,0,0,0
2877,40,12/2/1985,R/40/151F,0,1,1,0,0,0
3011,41,12/4/1986,R/41/60F,0,1,1,0,0,0
3145,42,11/2/1987,R/42/39C,0,1,1,0,0,0
3328,43,12/4/1988,R/43/76E,0,1,1,0,0,0
3468,44,12/6/1989,R/44/117C,0,1,1,0,0,0
3532,45,12/3/1990,R/45/59B,0,1,1,0,0,0
3604,46,12/6/1991,R/46/37D,0,1,1,0,0,0
3683,47,12/4/1992,R/47/53C,0,1,1,0,0,0
3777,48,12/5/1993,R/48/76B,0,1,1,0,0,0
3847,49,12/5/1994,R/49/76E,0,1,1,0,0,0
3940,50,12/3/1995,R/50/71E,0,1,1,0,0,0
3995,51,12/3/1996,R/51/46D,0,1,1,0,0,0
4196,54,12/4/1999,R/54/55D,0,1,1,0,0,0
4259,55,11/3/2000,R/55/34G,0,1,1,0,0,0
4324,56,11/6/2001,R/56/25B,0,1,1,0,0,0
4395,57,11/7/2002,R/57/94,0,1,1,0,0,0
4506,58,12/8/2003,R/58/64,0,1,1,0,0,0
4639,60,12/8/2005,R/60/88,0,1,1,0,0,0
4677,61,12/6/2006,R/61/97,0,1,1,0,0,0
4866,63,12/2/2008,R/63/75,0,1,1,0,0,0
5004,64,12/2/2009,R/64/59,0,1,1,0,0,0
5078,65,12/8/2010,R/65/80,0,1,1,0,0,0
5162,66,12/2/2011,R/66/57,0,1,1,0,0,0
5209,67,12/3/2012,R/67/64,0,1,1,0,0,0
